30,0.3333,0.6667,0,,3.2494,3.2494,5.2038,90,90,120
8,0.3333,0.6667,0.3821,,,,,,,
30,0.6667,0.3333,0.5,,,,,,,
8,0.6667,0.3333,0.8821,,,,,,,
